,area_title,fips_county,qualifying_area,criteria
97,"Midland, TX MSA",48329,msa_or_county,fossil_employment
98,"Lawrence County, Mississippi",28077,msa_or_county,fossil_employment
99,"Marlboro County, South Carolina",45069,msa_or_county,fossil_employment
100,"Stanly County, North Carolina",37167,msa_or_county,fossil_employment
101,"Concordia Parish, Louisiana",22029,msa_or_county,fossil_employment
102,"Lee County, Iowa",19111,msa_or_county,fossil_employment
103,"Platte County, Wyoming",56031,msa_or_county,fossil_employment
104,"Burke County, North Dakota",38013,msa_or_county,fossil_employment
105,"Refugio County, Texas",48391,msa_or_county,fossil_employment
106,"Talladega County, Alabama",1121,msa_or_county,fossil_employment
107,"Gonzales County, Texas",48177,msa_or_county,fossil_employment
108,"Cowley County, Kansas",20035,msa_or_county,fossil_employment
109,"Nicholas County, West Virginia",54067,msa_or_county,fossil_employment
110,"Wayne County, Illinois",17191,msa_or_county,fossil_employment
111,"Rio Blanco County, Colorado",8103,msa_or_county,fossil_employment
112,"Crook County, Oregon",41013,msa_or_county,fossil_employment
113,"Tazewell County, Virginia",51185,msa_or_county,fossil_employment
114,"Warren County, Mississippi",28149,msa_or_county,fossil_employment
115,"Montmorency County, Michigan",26119,msa_or_county,fossil_employment
116,"Avoyelles Parish, Louisiana",22009,msa_or_county,fossil_employment
117,"Lynchburg, VA MSA",51009,msa_or_county,fossil_employment
118,"Lynchburg, VA MSA",51011,msa_or_county,fossil_employment
119,"Lynchburg, VA MSA",51019,msa_or_county,fossil_employment
120,"Lynchburg, VA MSA",51031,msa_or_county,fossil_employment
121,"Lynchburg, VA MSA",51515,msa_or_county,fossil_employment
122,"Lynchburg, VA MSA",51680,msa_or_county,fossil_employment
123,"Mifflin County, Pennsylvania",42087,msa_or_county,fossil_employment
124,"Rolette County, North Dakota",38079,msa_or_county,fossil_employment
125,"Wheeling, WV-OH MSA",39013,msa_or_county,fossil_employment
126,"Wheeling, WV-OH MSA",54051,msa_or_county,fossil_employment
127,"Wheeling, WV-OH MSA",54069,msa_or_county,fossil_employment
128,"Jackson, TN MSA",47023,msa_or_county,fossil_employment
129,"Jackson, TN MSA",47033,msa_or_county,fossil_employment
130,"Jackson, TN MSA",47113,msa_or_county,fossil_employment
131,"Musselshell County, Montana",30065,msa_or_county,fossil_employment
132,"Apache County, Arizona",4001,msa_or_county,fossil_employment
133,"Lincoln Parish, Louisiana",22061,msa_or_county,fossil_employment
134,"Greene County, Indiana",18055,msa_or_county,fossil_employment
135,"Nowata County, Oklahoma",40105,msa_or_county,fossil_employment
136,"Otero County, Colorado",8089,msa_or_county,fossil_employment
137,"Stone County, Missouri",29209,msa_or_county,fossil_employment
138,"Montague County, Texas",48337,msa_or_county,fossil_employment
139,"Seneca County, Ohio",39147,msa_or_county,fossil_employment
140,"Richmond, VA MSA",51007,msa_or_county,fossil_employment
141,"Richmond, VA MSA",51033,msa_or_county,fossil_employment
142,"Richmond, VA MSA",51036,msa_or_county,fossil_employment
143,"Richmond, VA MSA",51041,msa_or_county,fossil_employment
144,"Richmond, VA MSA",51053,msa_or_county,fossil_employment
145,"Richmond, VA MSA",51075,msa_or_county,fossil_employment
146,"Richmond, VA MSA",51085,msa_or_county,fossil_employment
147,"Richmond, VA MSA",51087,msa_or_county,fossil_employment
148,"Richmond, VA MSA",51101,msa_or_county,fossil_employment
149,"Richmond, VA MSA",51127,msa_or_county,fossil_employment
150,"Richmond, VA MSA",51145,msa_or_county,fossil_employment
151,"Richmond, VA MSA",51149,msa_or_county,fossil_employment
152,"Richmond, VA MSA",51183,msa_or_county,fossil_employment
153,"Richmond, VA MSA",51570,msa_or_county,fossil_employment
154,"Richmond, VA MSA",51670,msa_or_county,fossil_employment
155,"Richmond, VA MSA",51730,msa_or_county,fossil_employment
156,"Richmond, VA MSA",51760,msa_or_county,fossil_employment
157,"Jasper County, Texas",48241,msa_or_county,fossil_employment
158,"Victoria, TX MSA",48175,msa_or_county,fossil_employment
159,"Victoria, TX MSA",48469,msa_or_county,fossil_employment
160,"Denver-Aurora-Lakewood, CO MSA",08001,msa_or_county,fossil_employment
161,"Denver-Aurora-Lakewood, CO MSA",08005,msa_or_county,fossil_employment
162,"Denver-Aurora-Lakewood, CO MSA",08014,msa_or_county,fossil_employment
163,"Denver-Aurora-Lakewood, CO MSA",08019,msa_or_county,fossil_employment
164,"Denver-Aurora-Lakewood, CO MSA",08031,msa_or_county,fossil_employment
165,"Denver-Aurora-Lakewood, CO MSA",08035,msa_or_county,fossil_employment
166,"Denver-Aurora-Lakewood, CO MSA",08039,msa_or_county,fossil_employment
167,"Denver-Aurora-Lakewood, CO MSA",08047,msa_or_county,fossil_employment
168,"Denver-Aurora-Lakewood, CO MSA",08059,msa_or_county,fossil_employment
169,"Denver-Aurora-Lakewood, CO MSA",08093,msa_or_county,fossil_employment
170,"Coal County, Oklahoma",40029,msa_or_county,fossil_employment
171,"Decatur County, Georgia",13087,msa_or_county,fossil_employment
172,"Portage County, Wisconsin",55097,msa_or_county,fossil_employment
173,"Adair County, Kentucky",21001,msa_or_county,fossil_employment
174,"Lawrence County, Pennsylvania",42073,msa_or_county,fossil_employment
175,"Crawford County, Pennsylvania",42039,msa_or_county,fossil_employment
176,"Woodward County, Oklahoma",40153,msa_or_county,fossil_employment
177,"Garrett County, Maryland",24023,msa_or_county,fossil_employment
178,"Okeechobee County, Florida",12093,msa_or_county,fossil_employment
179,"Mecklenburg County, Virginia",51117,msa_or_county,fossil_employment
180,"Jackson, MS MSA",28029,msa_or_county,fossil_employment
181,"Jackson, MS MSA",28049,msa_or_county,fossil_employment
182,"Jackson, MS MSA",28089,msa_or_county,fossil_employment
183,"Jackson, MS MSA",28121,msa_or_county,fossil_employment
184,"Jackson, MS MSA",28127,msa_or_county,fossil_employment
185,"Jackson, MS MSA",28163,msa_or_county,fossil_employment
186,"Rooks County, Kansas",20163,msa_or_county,fossil_employment
187,"Cleburne County, Arkansas",5023,msa_or_county,fossil_employment
188,"Caldwell Parish, Louisiana",22021,msa_or_county,fossil_employment
189,"Putnam County, Florida",12107,msa_or_county,fossil_employment
190,"Payne County, Oklahoma",40119,msa_or_county,fossil_employment
191,"Lincoln County, Oregon",41041,msa_or_county,fossil_employment
192,"Yuma, AZ MSA",04027,msa_or_county,fossil_employment
193,"Idaho County, Idaho",16049,msa_or_county,fossil_employment
194,"Ward County, North Dakota",38101,msa_or_county,fossil_employment
195,"Claiborne Parish, Louisiana",22027,msa_or_county,fossil_employment
196,"Assumption Parish, Louisiana",22007,msa_or_county,fossil_employment
197,"Atlanta-Sandy Springs-Roswell, GA MSA",13013,msa_or_county,fossil_employment
198,"Atlanta-Sandy Springs-Roswell, GA MSA",13015,msa_or_county,fossil_employment
199,"Atlanta-Sandy Springs-Roswell, GA MSA",13035,msa_or_county,fossil_employment
200,"Atlanta-Sandy Springs-Roswell, GA MSA",13045,msa_or_county,fossil_employment
201,"Atlanta-Sandy Springs-Roswell, GA MSA",13057,msa_or_county,fossil_employment
202,"Atlanta-Sandy Springs-Roswell, GA MSA",13063,msa_or_county,fossil_employment
203,"Atlanta-Sandy Springs-Roswell, GA MSA",13067,msa_or_county,fossil_employment
204,"Atlanta-Sandy Springs-Roswell, GA MSA",13077,msa_or_county,fossil_employment
205,"Atlanta-Sandy Springs-Roswell, GA MSA",13085,msa_or_county,fossil_employment
206,"Atlanta-Sandy Springs-Roswell, GA MSA",13089,msa_or_county,fossil_employment
207,"Atlanta-Sandy Springs-Roswell, GA MSA",13097,msa_or_county,fossil_employment
208,"Atlanta-Sandy Springs-Roswell, GA MSA",13113,msa_or_county,fossil_employment
209,"Atlanta-Sandy Springs-Roswell, GA MSA",13117,msa_or_county,fossil_employment
210,"Atlanta-Sandy Springs-Roswell, GA MSA",13121,msa_or_county,fossil_employment
211,"Atlanta-Sandy Springs-Roswell, GA MSA",13135,msa_or_county,fossil_employment
212,"Atlanta-Sandy Springs-Roswell, GA MSA",13143,msa_or_county,fossil_employment
213,"Atlanta-Sandy Springs-Roswell, GA MSA",13149,msa_or_county,fossil_employment
