,area_text,geographic_level,state_code,geoid,year,local_area_unemployment,national_unemployment_rate_prev_year
38,"Calhoun County, AL",county,01,015,2013,8.9,8.1
39,"Calhoun County, AL",county,01,015,2014,7.9,7.4
40,"Chambers County, AL",county,01,017,2010,14.6,9.3
41,"Chambers County, AL",county,01,017,2011,11.8,9.6
42,"Chambers County, AL",county,01,017,2012,10.1,8.9
43,"Chambers County, AL",county,01,017,2013,8.1,8.1
44,"Chambers County, AL",county,01,017,2014,6.7,7.4
45,"Cherokee County, AL",county,01,019,2010,10.5,9.3
46,"Cherokee County, AL",county,01,019,2011,9.6,9.6
47,"Cherokee County, AL",county,01,019,2012,8.2,8.9
48,"Cherokee County, AL",county,01,019,2013,6.7,8.1
49,"Cherokee County, AL",county,01,019,2014,5.8,7.4
50,"Chilton County, AL",county,01,021,2010,10.1,9.3
51,"Chilton County, AL",county,01,021,2011,9.1,9.6
52,"Chilton County, AL",county,01,021,2012,7.4,8.9
53,"Chilton County, AL",county,01,021,2013,6.7,8.1
54,"Chilton County, AL",county,01,021,2014,6.2,7.4
55,"Choctaw County, AL",county,01,023,2010,13.0,9.3
56,"Choctaw County, AL",county,01,023,2011,13.0,9.6
57,"Choctaw County, AL",county,01,023,2012,10.5,8.9
58,"Choctaw County, AL",county,01,023,2013,9.4,8.1
59,"Choctaw County, AL",county,01,023,2014,9.0,7.4
60,"Clarke County, AL",county,01,025,2010,19.5,9.3
61,"Clarke County, AL",county,01,025,2011,18.6,9.6
62,"Clarke County, AL",county,01,025,2012,15.4,8.9
63,"Clarke County, AL",county,01,025,2013,14.0,8.1
64,"Clarke County, AL",county,01,025,2014,12.1,7.4
65,"Clay County, AL",county,01,027,2010,14.2,9.3
66,"Clay County, AL",county,01,027,2011,11.7,9.6
67,"Clay County, AL",county,01,027,2012,9.6,8.9
68,"Clay County, AL",county,01,027,2013,8.5,8.1
69,"Clay County, AL",county,01,027,2014,7.1,7.4
70,"Cleburne County, AL",county,01,029,2010,9.8,9.3
71,"Cleburne County, AL",county,01,029,2011,9.6,9.6
72,"Cleburne County, AL",county,01,029,2012,8.4,8.9
73,"Cleburne County, AL",county,01,029,2013,7.8,8.1
74,"Cleburne County, AL",county,01,029,2014,6.6,7.4
75,"Coffee County, AL",county,01,031,2010,8.5,9.3
76,"Coffee County, AL",county,01,031,2011,8.1,9.6
77,"Coffee County, AL",county,01,031,2012,7.2,8.9
78,"Coffee County, AL",county,01,031,2013,7.0,8.1
79,"Coffee County, AL",county,01,031,2014,6.6,7.4
80,"Colbert County, AL",county,01,033,2010,11.3,9.3
81,"Colbert County, AL",county,01,033,2011,10.1,9.6
82,"Colbert County, AL",county,01,033,2012,9.0,8.9
83,"Colbert County, AL",county,01,033,2013,8.3,8.1
84,"Colbert County, AL",county,01,033,2014,8.3,7.4
85,"Conecuh County, AL",county,01,035,2010,16.9,9.3
86,"Conecuh County, AL",county,01,035,2011,15.0,9.6
87,"Conecuh County, AL",county,01,035,2012,12.2,8.9
88,"Conecuh County, AL",county,01,035,2013,10.9,8.1
